Price,Close,High,Low,Open,Volume
Ticker,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS
Date,,,,,
2020-06-16,93.0741958618164,101.66943822372556,90.37283397664496,100.19596810454114,215476711
2020-06-17,93.71269989013672,94.69501329046423,90.17637314784893,91.35514623045937,110830038
2020-06-18,94.6458969116211,95.48086182320134,92.48481037641854,93.31977528799877,58964344
2020-06-19,100.68712615966797,102.06236645488649,93.90916202173557,94.7932456039801,135462757
2020-06-22,100.83448028564453,103.04468561706386,99.21366154371228,100.53978324367246,68545834
2020-06-23,102.55352020263672,104.12522013981815,100.09773670877308,101.17827994718179,68638552
2020-06-24,102.94644927978516,108.84032979211355,102.35705523298702,103.38848732042713,125457492
2020-06-25,101.9641342163086,104.41991772349853,99.85215890123395,102.01324538977849,63198285
2020-06-26,99.60658264160156,104.1743415597592,98.57515054914587,103.53583633559408,56327855
2020-06-29,97.69107055664062,99.60658629947996,96.31583770880555,99.60658629947996,43274006
2020-06-30,96.51229095458984,100.4906631978288,95.57909622812956,99.95038783337931,50764363
2020-07-01,98.96807098388672,99.65568733785334,96.46316891901829,97.249022604514,50857376
2020-07-02,99.75393676757812,101.12916964230013,98.62427476809326,98.96808298677377,48083736
2020-07-03,101.62032318115234,104.46903367877655,100.29420152546119,101.03093661134037,87310642
2020-07-06,107.0721664428711,107.95625005000636,102.65175590165165,103.14291262845381,91970198
2020-07-07,107.12127685546875,110.6084848502648,106.13896347758993,107.85801188887788,85835716
2020-07-08,103.4867172241211,108.88944103025842,102.3570552930374,107.56331941309786,55887256
2020-07-09,105.05841064453125,107.02303736061005,102.79909441771433,104.41991295737057,54492650
2020-07-10,105.6969223022461,106.67923572047228,103.53583577993115,104.81283872695121,64694173
2020-07-13,106.08984375,110.11732706013653,104.96018187784486,106.92480861395597,81893001
2020-07-14,103.29025268554688,105.6478062799966,102.25882064595753,105.00930108855826,46924623
2020-07-15,101.37474060058594,104.91107486121054,100.6871242134959,104.91107486121054,49687046
2020-07-16,101.12915802001953,102.11147138590395,98.82072310908237,102.11147138590395,44333785
2020-07-17,104.51815032958984,105.05841821878879,101.47298019901534,101.81678840022498,42080157
2020-07-20,103.19202423095703,104.4690271365024,102.01324367069626,104.4690271365024,39786731
2020-07-21,106.53189086914062,107.75978268411208,103.63406918359074,104.12522590957933,66008143
2020-07-22,103.29025268554688,107.80889270314269,102.4061691508212,106.58100098670599,50735592
2020-07-23,104.17434692382812,104.56726631789397,102.84821773825625,103.58495284381527,30722413
2020-07-24,101.9150161743164,103.6340646399073,100.88358409717927,102.84821091499741,39363520
2020-07-27,99.9012680053711,102.65174847423357,99.50834864792475,102.16059178296929,29644533
2020-07-28,104.5672607421875,105.30399580846253,100.19596901340493,100.49066603769761,64271161
2020-07-29,103.87964630126953,106.82658662187292,102.99556270619716,106.18808138685083,44561639
2020-07-30,101.81678771972656,104.86195782994848,101.03093398410822,104.5181496310367,33378340
2020-07-31,102.79910278320312,103.535837861686,100.4906677028481,102.1605975496266,33809018
2020-08-03,111.050537109375,112.37665875113512,101.08005421965957,101.17828406452018,194765344
2020-08-04,109.47882843017578,113.06427393725059,108.8403306982564,110.95229857052514,95906477
2020-08-05,113.35897064208984,115.56917584635498,110.01910350119786,110.41203036973633,99371050
2020-08-06,114.73421478271484,115.6182908985058,113.45720429075047,114.14482071291164,60092530
2020-08-07,116.99352264404297,117.58290917609845,113.94835264970925,114.93066603462053,56489390
2020-08-10,121.65951538085938,122.49448028768293,117.58291319524245,117.82849154986447,71093810
2020-08-11,120.13693237304688,123.57502928893751,119.25284881006941,122.78917556752276,50224665
2020-08-12,123.13298034667969,124.16441239063572,118.46699180446619,118.85991865428069,50713617
2020-08-13,128.8303985595703,129.56713362183757,122.19979049362155,123.8697203036447,95489249
2020-08-14,122.39624786376953,130.30386621917768,121.51216430688149,128.83039612251642,75032834
2020-08-17,121.36482238769531,124.01706554412371,118.46699338919838,122.29801711083883,61154250
2020-08-18,123.3785629272461,125.24495990710605,121.41393610517385,121.8068629684796,62153763
2020-08-19,122.93653106689453,125.34319604707107,122.54360418384653,124.75380946972753,45128613
2020-08-20,119.54754638671875,123.42768909266807,118.95815980318862,121.26659496044823,43530882
2020-08-21,118.7616958618164,122.00332570259192,118.02496078512333,122.00332570259192,48650204
2020-08-24,119.05638122558594,120.82454834549776,118.66346186067797,119.84223494431485,31294253
2020-08-25,124.85203552246094,126.07993480508989,118.95815493923425,119.64577883728472,90263366
2020-08-26,135.46102905273438,136.54157992540786,126.0799468835235,128.19191496594047,197510376
2020-08-27,141.69871520996094,144.2527361763819,136.83626662861505,137.622120386661,181380747
2020-08-28,140.2743682861328,143.61422813076592,138.0150442788037,141.60048249403968,95194825
2020-08-31,140.66726684570312,145.3332551959584,135.75570016122387,141.94427718145013,160564488
2020-09-01,141.2566680908203,142.58278217032105,137.91679358066926,140.86373374255461,58811543
2020-09-02,147.6417236328125,148.9678378787005,138.94824306891655,141.74784256953785,74947929
2020-09-03,149.16429138183594,152.45503218133666,146.9049676307546,148.91871303908607,110156350
2020-09-04,145.18592834472656,150.9324529324314,144.400074600817,145.28415069464435,95560889
2020-09-07,146.7576141357422,149.31163493948264,145.38238138844363,147.34700816396315,82617101
2020-09-08,139.783203125,146.95409411244316,138.7026523638694,146.80673810560899,76286731
2020-09-09,137.6221160888672,139.24292723572836,133.29992804904865,138.50619217098904,105355010
2020-09-10,140.76551818847656,141.94429131231865,135.55925398685105,140.2743614711329,79606504
2020-09-11,141.74781799316406,144.2036013437424,139.1446786482038,140.56904498266888,65135339
2020-09-14,145.9226531982422,148.42755527385148,142.92659444070608,144.5965241614748,84505930
2020-09-15,145.7753143310547,146.7576278103446,143.95804338771688,146.7576278103446,42886817
2020-09-16,148.7713623046875,151.57096150667095,145.92265942354646,146.56115714172574,85056501
2020-09-17,145.03857421875,148.32933025642828,143.61422272069285,148.13287056512965,48119360
2020-09-18,145.2841339111328,147.83815453656507,143.66332293005078,146.069987564259,46270863
2020-09-21,135.0189666748047,145.13679715623678,133.10345864412918,145.13679715623678,64734493
2020-09-22,130.7459259033203,135.70659682379087,127.35693251713485,135.55925580218008,87298020
2020-09-23,129.0759735107422,134.28223747795724,125.63788413859224,133.10346440718905,74981613
2020-09-24,120.62808990478516,126.52197037255401,119.98958468855221,125.63788680349737,62420957
2020-09-25,124.99938201904297,126.079932770765,120.9227798491966,121.51216639911806,65040759
2020-09-28,130.50033569335938,131.92468706563187,125.24495322897096,126.62018593552806,61830817
2020-09-29,129.3706817626953,133.59463270634038,128.3883682869134,132.56320055898655,63366932
2020-09-30,130.94236755371094,132.02290320411132,127.99542761621818,129.22331925684017,48859088
2020-10-01,131.1388397216797,134.0857799401444,130.20564498361514,133.49638590088622,40491744
2020-10-05,131.53175354003906,135.06808764858516,129.7144828086601,134.52781230020835,55268322
2020-10-06,142.18988037109375,143.2213125529157,133.59463717076858,135.55926418798575,161987221
2020-10-07,138.5061798095703,141.94427647151,137.32740680897336,141.69869813851432,68273641
2020-10-08,138.4570770263672,140.96197930802066,137.13096286943087,140.32348156456024,40900948
2020-10-09,136.0012969970703,140.12701057551274,135.5592589331147,138.653540369718,37097190
2020-10-12,133.4963836669922,137.1800588784314,130.64768083237763,137.1800588784314,39279109
2020-10-13,131.7282257080078,134.6751657463175,130.50033402537878,133.0052210668123,38973506
2020-10-14,128.3883514404297,132.26848616285335,126.52196207690807,131.38441014621935,45791440
2020-10-15,124.7046890258789,131.97381752277258,124.26265097277036,129.17421820489568,64002864
2020-10-16,125.49053955078125,127.74986341718855,123.77149106378425,127.11135070009882,62553775
2020-10-19,125.98169708251953,128.0936649561738,125.53965903790741,127.50428589299543,33157664
2020-10-20,127.35693359375,127.99544633359312,124.11530368514268,125.83435972785492,27465829
2020-10-21,127.9463119506836,130.74591095246296,126.03080394421391,128.7321656168771,39252663
2020-10-22,131.1388397216797,132.2193904640153,126.17815402281481,127.40604578050844,48808592
2020-10-23,134.57693481445312,136.44332426521981,131.72823197088022,132.5140706939949,68711352
2020-10-26,131.33531188964844,138.3097437318916,128.92864681357787,135.95218233966605,88531579
2020-10-27,133.25082397460938,134.3313748501399,128.53573103498684,131.7773536837486,56856159
2020-10-28,132.4158477783203,140.71639291403585,131.13883737538418,136.54156101257232,152359338
2020-10-29,129.56712341308594,130.6476740815053,127.70073406462926,129.66536074254662,66632704
2020-10-30,130.30386352539062,132.12114926926904,127.9954360816915,130.84413888077984,51128530
2020-11-02,130.50033569335938,131.62999006025183,128.78128731570683,131.28617438915637,40388690
2020-11-03,131.7282257080078,134.96984775901876,131.18795036986862,132.61230172393587,52071476
2020-11-04,133.4963836669922,134.57693439124614,131.62999422209478,133.20170164120728,44675934
2020-11-05,135.21543884277344,135.55925454188713,133.59462766446848,134.5769411031778,38928602
